chinese,english
你好,Hello
早上好,Good morning
中午好,Good noon
下午好,Good afternoon
晚上好,Good evening
晚安,Good night
再见,Goodbye
谢谢,Thank you
非常感谢,Thank you very much
不客气,You are welcome
对不起,Sorry
没关系,It's okay
打扰了,Excuse me
你好吗,How are you
你呢,How about you
你叫什么名字,What's your name
我叫小明,My name is Xiaoming
很高兴认识你,Nice to meet you
你来自哪里,Where are you from
欢迎,Welcome
请进,Come in please
请坐,Sit down please
请稍等,Please wait a moment
快点,Hurry up
慢点,Slow down
安静,Be quiet
加油,Come on
真棒,Awesome
太好了,Great
好的,Okay
不行,No
可以,Yes
明白,Understand
不知道,I don't know
我饿了,I'm hungry
我渴了,I'm thirsty
我累了,I'm tired
我困了,I'm sleepy
我想吃米饭,I want to eat rice
我想喝水,I want to drink water
我想睡觉,I want to sleep
我想回家,I want to go home
我喜欢学习,I like studying
我喜欢读书,I like reading books
我喜欢运动,I like sports
我喜欢音乐,I like music
我喜欢画画,I like drawing
今天天气很好,The weather is nice today
今天是晴天,It's sunny today
今天下雨了,It's raining today
今天刮风了,It's windy today
今天很冷,It's cold today
今天很热,It's hot today
现在几点了,What time is it now
现在是早上,It's morning now
现在是中午,It's noon now
现在是晚上,It's night now
今天星期几,What day is it today
今天星期一,Today is Monday
今天星期二,Today is Tuesday
今天星期三,Today is Wednesday
今天星期四,Today is Thursday
今天星期五,Today is Friday
今天星期六,Today is Saturday
今天星期日,Today is Sunday
我爱中国,I love China
我爱家人,I love my family
我爱朋友,I love my friends
我爱学习,I love studying
我爱生活,I love life
爸爸,Father
妈妈,Mother
哥哥,Brother
姐姐,Sister
爷爷,Grandfather
奶奶,Grandmother
老师,Teacher
学生,Student
医生,Doctor
工人,Worker
农民,Farmer
警察,Police
司机,Driver
厨师,Cook
苹果,Apple
香蕉,Banana
橙子,Orange
西瓜,Watermelon
牛奶,Milk
鸡蛋,Egg
面包,Bread
咖啡,Coffee
学校,School
公园,Park
医院,Hospital
商店,Shop
城市,City
乡村,Countryside
太阳从东方升起。,The sun rises in the east.
月亮在夜晚出现。,The moon appears at night.
水在常温下是液体。,Water is liquid at room temperature.
空气是生命必需的物质。,Air is essential for life.
植物需要阳光才能生长。,Plants need sunlight to grow.
树木可以净化空气。,Trees can purify the air.
花朵在春天开放。,Flowers bloom in spring.
雪在冬天从天空落下。,Snow falls from the sky in winter.
风是空气流动形成的。,Wind is formed by moving air.
云由微小的水滴组成。,Clouds consist of tiny water droplets.
地球围绕太阳旋转。,The Earth revolves around the sun.
一年有四个季节。,There are four seasons in a year.
春天是万物复苏的季节。,Spring is the season of renewal.
夏天天气通常很炎热。,Summer is usually very hot.
秋天树叶会变黄掉落。,Leaves turn yellow and fall in autumn.
冬天温度较低且寒冷。,Winter has low and cold temperatures.
早晨的空气非常清新。,The morning air is very fresh.
傍晚的天空常常呈现红色。,The evening sky often turns red.
闪电伴随雷声出现。,Lightning comes with thunder.
雨水可以滋润大地。,Rain can moisten the earth.
河流最终汇入大海。,Rivers eventually flow into the sea.
大海占据地球大部分面积。,The ocean covers most of the Earth.
山是地壳隆起形成的。,Mountains form from crust uplift.
草原适合放牧动物。,Grasslands are suitable for grazing animals.
沙漠地区降水非常稀少。,Desert areas have very little rainfall.
森林是许多动物的家园。,Forests are home to many animals.
鸟类用翅膀在空中飞行。,Birds fly in the air with wings.
鱼类依靠鳃在水中呼吸。,Fish breathe in water using gills.
哺乳动物用乳汁喂养幼崽。,Mammals feed their babies with milk.
昆虫是数量最多的动物。,Insects are the most numerous animals.
猫是常见的家养宠物。,Cats are common household pets.
狗对人类非常忠诚。,Dogs are very loyal to humans.
兔子喜欢吃胡萝卜和青草。,Rabbits like carrots and grass.
熊在冬季会进入冬眠。,Bears hibernate during winter.
狮子被称为草原之王。,Lions are called kings of the grassland.
老虎拥有漂亮的橙色皮毛。,Tigers have beautiful orange fur.
大象拥有长长的鼻子。,Elephants have long trunks.
长颈鹿的脖子非常长。,Giraffes have extremely long necks.
猴子善于攀爬树木。,Monkeys are good at climbing trees.
熊猫主要以竹子为食物。,Pandas mainly eat bamboo.
狼通常群体生活和捕猎。,Wolves usually live and hunt in packs.
狐狸被认为非常聪明。,Foxes are considered very clever.
蜜蜂可以帮助植物授粉。,Bees help pollinate plants.
蝴蝶从毛毛虫蜕变而来。,Butterflies transform from caterpillars.
蚂蚁能够搬运比自身重的物体。,Ants can carry objects heavier than themselves.
蜘蛛会编织网来捕捉猎物。,Spiders weave webs to catch prey.
蜗牛爬行速度非常缓慢。,Snails crawl very slowly.
青蛙可以在水中和陆地生活。,Frogs live in water and on land.
蛇依靠腹部鳞片移动。,Snakes move using belly scales.
鳄鱼是古老的爬行动物。,Crocodiles are ancient reptiles.
健康的身体需要均衡饮食。,A healthy body needs a balanced diet.
蔬菜含有丰富的维生素。,Vegetables are rich in vitamins.
水果可以提供人体所需水分。,Fruits provide necessary water for the body.
肉类含有大量的蛋白质。,Meat contains a lot of protein.
谷物是人类主要的粮食来源。,Grains are the main food source for humans.
牛奶有助于骨骼发育。,Milk helps with bone development.
鸡蛋营养丰富且价格便宜。,Eggs are nutritious and cheap.
过多食用甜食对牙齿有害。,Too much sweet food is bad for teeth.
油炸食品不宜经常食用。,Fried food should not be eaten often.
每天喝足够的水很重要。,Drinking enough water daily is important.
规律作息能保持身体健康。,Regular routines keep the body healthy.
运动可以增强人体免疫力。,Exercise can strengthen immunity.
跑步是简单有效的锻炼方式。,Running is simple and effective exercise.
游泳可以锻炼全身肌肉。,Swimming exercises all body muscles.
跳绳适合各个年龄段的人。,Skipping is suitable for all ages.
早睡早起是良好的生活习惯。,Early sleep and rise are good habits.
长时间熬夜损害身体健康。,Staying up late harms health.
洗手可以预防病菌传播。,Washing hands prevents germ spread.
保持环境整洁能减少疾病。,Clean environments reduce diseases.
微笑可以改善个人心情。,Smiling can improve one's mood.
阅读能增长知识和见识。,Reading increases knowledge and vision.
学习是终身持续的过程。,Learning is a lifelong process.
语言帮助人类交流思想。,Language helps humans exchange ideas.
文字记录人类历史与文明。,Writing records human history and civilization.
数学用于计算和逻辑推理。,Math is used for calculation and logic.
物理研究物质和能量规律。,Physics studies matter and energy laws.
化学探索物质的组成变化。,Chemistry explores matter composition changes.
生物研究生命与自然现象。,Biology studies life and natural phenomena.
历史记录过去发生的事件。,History records past events.
地理描述地球环境与人文。,Geography describes Earth and human life.
艺术表达人类情感与审美。,Art expresses human emotion and aesthetics.
音乐能舒缓情绪减轻压力。,Music eases emotions and reduces stress.
绘画通过色彩表达内心世界。,Painting expresses inner world with colors.
舞蹈用身体动作传递情感。,Dance conveys feelings through body movements.
文学作品反映社会与人性。,Literature reflects society and human nature.
电影是视听结合的艺术形式。,Film is an audio-visual art form.
摄影可以定格美好瞬间。,Photography freezes beautiful moments.
建筑体现人类智慧与审美。,Architecture shows human wisdom and aesthetics.
科技改变人类生活方式。,Technology changes human lifestyles.
互联网让信息传播更快速。,The Internet makes information spread faster.
手机成为人们必备工具。,Mobile phones are essential tools for people.
电脑能处理复杂数据任务。,Computers handle complex data tasks.
软件让设备实现更多功能。,Software enables more device functions.
网络购物方便快捷省时。,Online shopping is convenient and time-saving.
人工智能逐渐进入日常生活。,AI is gradually entering daily life.
机器人可以辅助人类工作。,Robots can assist humans in work.
大数据分析提供决策依据。,Big data analysis provides decision support.
云计算提升数据存储效率。,Cloud computing improves storage efficiency.
网络安全保护个人信息。,Network security protects personal information.
交通方便人们出行移动。,Transportation facilitates travel.
汽车是常见的陆上交通工具。,Cars are common land vehicles.
自行车环保且有益健康。,Bicycles are eco-friendly and healthy.
公交车适合城市短途出行。,Buses suit short urban trips.
地铁运行快速且不受拥堵影响。,Subways run fast without congestion.
火车适合长途陆地旅行。,Trains are suitable for long land trips.
飞机是最快的长途交通工具。,Planes are the fastest long-distance transport.
船只用于水上运输与旅行。,Ships are used for water transport and travel.
交通规则保障出行安全。,Traffic rules ensure travel safety.
城市拥有完善的生活设施。,Cities have complete living facilities.
乡村环境安静且自然。,The countryside is quiet and natural.
街道是城市重要组成部分。,Streets are important parts of cities.
公园供人们休闲和锻炼。,Parks are for leisure and exercise.
学校是学习知识的场所。,Schools are places for learning knowledge.
医院提供医疗健康服务。,Hospitals provide medical and health services.
商店出售各类生活物品。,Shops sell various daily necessities.
餐厅提供各类美食餐饮。,Restaurants offer various foods and drinks.
图书馆收藏大量书籍资料。,Libraries collect many books and materials.
博物馆展示历史文化遗产。,Museums display historical and cultural heritage.
电影院提供影视娱乐服务。,Cinemas provide film and entertainment services.
家庭是社会最基本单位。,The family is the basic unit of society.
亲情是人类最温暖的情感。,Family love is the warmest human emotion.
友情让生活更加丰富美好。,Friendship enriches life.
爱情带来幸福与陪伴。,Love brings happiness and companionship.
尊重他人是基本的修养。,Respecting others is basic virtue.
诚信是做人的重要品质。,Honesty is an important character.
勇敢面对困难与挑战。,Be brave in facing difficulties and challenges.
坚持能带来最终的成功。,Persistence leads to final success.
宽容可以化解矛盾冲突。,Tolerance resolves conflicts.
感恩让生活更加幸福。,Gratitude makes life happier.
努力是实现梦想的途径。,Effort is the way to realize dreams.
时间对每个人都公平。,Time is fair to everyone.
珍惜时间就是珍惜生命。,Cherishing time is cherishing life.
计划能提高做事效率。,Planning improves work efficiency.
目标指引前进的方向。,Goals guide the direction forward.
经验来自不断的实践。,Experience comes from continuous practice.
失败是成功之母。,Failure is the mother of success.
成功需要耐心与付出。,Success requires patience and effort.
知识改变个人命运。,Knowledge changes personal fate.
智慧来自思考与总结。,Wisdom comes from thinking and summarizing.
思考能让人更加清醒。,Thinking makes people clearer.
创造推动社会向前发展。,Creation pushes society forward.
创新是进步的重要动力。,Innovation is an important driving force for progress.
合作能完成更大的目标。,Cooperation achieves bigger goals.
分享让快乐变得更多。,Sharing makes happiness multiply.
帮助他人能获得内心满足。,Helping others brings inner satisfaction.
保护环境人人有责。,Everyone is responsible for protecting the environment.
节约资源可持续发展。,Saving resources ensures sustainable development.
减少污染保护生态平衡。,Reducing pollution protects ecological balance.
垃圾分类利于资源回收。,Waste sorting helps resource recycling.
植树造林改善自然环境。,Planting trees improves the natural environment.
保护动物维护生物多样性。,Protecting animals maintains biodiversity.
和平是世界人民的愿望。,Peace is the wish of people worldwide.
平等尊重每个个体权利。,Equality respects every individual's rights.
自由是人类追求的价值。,Freedom is a value pursued by humans.
正义维护社会公平秩序。,Justice maintains social fairness and order.
文明促进社会和谐进步。,Civilization promotes social harmony and progress.
法律规范人们的行为。,Laws regulate people's behavior.
道德引导人们向善。,Morality guides people to do good.
教育提升人类整体素质。,Education improves overall human quality.
劳动创造财富与价值。,Labor creates wealth and value.
休息能恢复身体与精力。,Rest restores the body and energy.
旅行开阔眼界增长见识。,Travel broadens vision and knowledge.
美食满足味蕾带来愉悦。,Delicious food satisfies taste and brings joy.
自然风景令人心旷神怡。,Natural scenery is refreshing.
日出景象壮丽而震撼。,The sunrise is magnificent and shocking.
星空璀璨充满神秘感。,The starry sky is bright and mysterious.
山川河流构成美丽地球。,Mountains and rivers form the beautiful Earth.
四季变换带来不同景色。,Seasonal changes bring different scenery.
清晨露水滋润花草树木。,Morning dew moistens flowers and trees.
黄昏夕阳染红整片天空。,The dusk sunset dyes the sky red.
微风轻轻拂过人们脸庞。,The breeze gently brushes people's faces.
细雨无声滋润万物生长。,Light rain silently moistens all growth.
大雪覆盖大地一片洁白。,Heavy snow covers the ground in white.
雷电交加显示自然力量。,Thunder and lightning show natural power.
彩虹在雨后天空出现。,Rainbows appear in the sky after rain.
沙漠落日景象十分壮观。,The desert sunset is very spectacular.
海边浪花不断拍打海岸。,Sea waves keep hitting the shore.
山顶视野开阔风景优美。,The mountain top has a wide and beautiful view.
森林幽静充满自然气息。,Forests are quiet and full of nature.
草原辽阔适合自由奔跑。,The grassland is wide and suitable for running.
湖泊平静如镜倒映天空。,Lakes are calm and reflect the sky.
瀑布水流湍急气势磅礴。,Waterfalls have rapid and magnificent flows.
洞穴内部奇特而神秘。,Caves are strange and mysterious inside.
小岛安静远离城市喧嚣。,Islands are quiet and far from city noise.
春天小草从土里探出头。,Spring grass peeks out from the soil.
夏天荷花在池塘中盛开。,Summer lotus blooms in the pond.
秋天稻田一片金黄颜色。,Autumn rice fields are golden.
冬天梅花在寒风中开放。,Winter plum blossoms bloom in cold wind.
蜜蜂在花丛中忙碌采蜜。,Bees are busy gathering honey in flowers.
蝴蝶在花间翩翩起舞。,Butterflies dance among flowers.
松鼠在树上跳跃寻找食物。,Squirrels jump on trees looking for food.
海豚在海里快乐地游动。,Dolphins swim happily in the sea.
鲸鱼是世界上最大动物。,Whales are the largest animals in the world.
雄鹰在高空自由翱翔。,Eagles soar freely in the high sky.
孔雀开屏展示美丽羽毛。,Peacocks spread their beautiful feathers.
鹦鹉能够模仿人类说话。,Parrots can imitate human speech.
乌龟寿命非常长久。,Tortoises have a very long lifespan.
变色龙可以改变身体颜色。,Chameleons can change body color.
珊瑚生长在温暖的海域。,Corals grow in warm sea areas.
蘑菇在潮湿环境中生长。,Mushrooms grow in humid environments.
苔藓喜欢阴暗湿润地方。,Moss likes dark and wet places.
竹子生长快速且坚韧挺拔。,Bamboo grows fast and is tough and straight.
松树四季常青不畏严寒。,Pine trees stay green all year and resist cold.
柳树枝条柔软随风摆动。,Willow branches swing softly in the wind.
玫瑰象征美丽与爱情。,Roses symbolize beauty and love.
百合代表纯洁与高雅。,Lilies represent purity and elegance.
菊花在秋季独自开放。,Chrysanthemums bloom alone in autumn.
牡丹被誉为花中之王。,Peonies are known as the king of flowers.
仙人掌能在干旱中生存。,Cacti can survive in drought.
草莓酸甜可口受人喜爱。,Strawberries are sweet and popular.
葡萄成串生长在藤蔓上。,Grapes grow in clusters on vines.
芒果气味香甜果肉细腻。,Mangoes have sweet smell and fine flesh.
菠萝外皮坚硬果肉酸甜。,Pineapples have hard skin and sweet flesh.
桃子多汁味道十分鲜美。,Peaches are juicy and delicious.
梨子清甜能够润肺止咳。,Pears are sweet and moisten the lungs.
樱桃小巧颜色鲜艳诱人。,Cherries are small and brightly colored.
石榴内部充满红色果实。,Pomegranates are full of red fruits inside.
核桃含有丰富的营养成分。,Walnuts are rich in nutrients.
花生适合榨油和直接食用。,Peanuts are suitable for oil and eating.
芝麻常用于调味和点缀。,Sesame is often used for seasoning and decoration.
玉米是重要的粮食作物。,Corn is an important food crop.
小麦用于制作面包面条。,Wheat is used to make bread and noodles.
稻米是亚洲人主食之一。,Rice is one of the main foods in Asia.
大豆可以制作豆腐豆浆。,Soybeans can make tofu and soy milk.
土豆适合多种烹饪方式。,Potatoes suit many cooking methods.
番茄既可当蔬菜也当水果。,Tomatoes are both vegetables and fruits.
黄瓜清脆爽口适合生吃。,Cucumbers are crisp and suitable for raw eating.
胡萝卜富含维生素A护眼。,Carrots are rich in vitamin A for eye protection.
菠菜含铁量较高有营养。,Spinach is high in iron and nutritious.
白菜价格便宜常见易存。,Chinese cabbage is cheap and easy to store.
辣椒能增加食物风味。,Chili peppers increase food flavor.
大蒜具有杀菌调味作用。,Garlic has sterilizing and seasoning effects.
生姜可以驱寒去腥调味。,Ginger drives cold and removes fishy smell.
葱常用于菜肴提香增味。,Green onions enhance dish flavor.
盐是人体必需的调味品。,Salt is an essential human condiment.
糖能增加食物甜味口感。,Sugar adds sweet taste to food.
醋用于调味增加酸味。,Vinegar is used to add sour taste.
酱油提升菜肴色泽鲜香。,Soy sauce improves dish color and aroma.
食用油用于烹饪各类食物。,Cooking oil is used to cook all kinds of food.
肥皂帮助清洁身体污垢。,Soap helps clean body dirt.
牙刷牙膏保护口腔卫生。,Toothbrushes and toothpaste protect oral hygiene.
毛巾用于擦干水分清洁。,Towels dry water and clean.
梳子整理头发保持整洁。,Combs tidy hair and keep it neat.
镜子帮助人们整理仪容。,Mirrors help people tidy their appearance.
雨伞遮挡雨水和阳光。,Umbrellas block rain and sunlight.
帽子遮阳保暖装饰头部。,"Hats shade, keep warm and decorate heads."
手套保护手部免受伤害。,Gloves protect hands from harm.
围巾保暖美化颈部装饰。,Scarves keep necks warm and decorative.
鞋子保护双脚方便行走。,Shoes protect feet and make walking easy.
衣服保暖遮体美化形象。,"Clothes keep warm, cover and beautify image."
裤子方便活动适合日常。,Pants are convenient for daily activities.
裙子展现女性柔美气质。,Skirts show women's gentle temperament.
袜子保护脚部减少摩擦。,Socks protect feet and reduce friction.
手表显示时间方便佩戴。,Watches show time and are easy to wear.
眼镜帮助矫正视力问题。,Glasses help correct vision problems.
包包携带物品方便出行。,Bags carry items for easy travel.
钥匙打开门锁保障安全。,Keys open locks and ensure safety.
钱包存放钱币和卡片。,Wallets store money and cards.
手机充电器保持电量充足。,Phone chargers keep batteries full.
耳机聆听音乐避免打扰。,Earphones listen to music without disturbing others.
台灯提供局部照明看书。,Desk lamps provide local light for reading.
插座提供电力供应设备。,Sockets provide power for devices.
风扇吹风降低环境温度。,Fans blow wind to lower temperature.
空调调节室内温度湿度。,Air conditioners adjust indoor temperature and humidity.
电视播放影音娱乐节目。,TVs play audio-visual entertainment programs.
冰箱冷藏食物保持新鲜。,Refrigerators keep food fresh and cold.
洗衣机清洗衣物节省时间。,Washing machines wash clothes and save time.
电饭煲自动煮饭方便快捷。,Rice cookers cook rice automatically and easily.
微波炉快速加热食物饮品。,Microwaves heat food and drinks quickly.
炒锅用于翻炒各类菜肴。,Woks are used to stir-fry all kinds of dishes.
菜刀切割食材处理烹饪。,Kitchen knives cut ingredients for cooking.
碗筷盛放食物方便用餐。,Bowls and chopsticks hold food for eating.
杯子盛装水和各类饮品。,Cups hold water and all kinds of drinks.
盘子盛放菜肴美观实用。,Plates hold dishes beautifully and practically.
勺子舀取食物方便进食。,Scoops scoop food for easy eating.
叉子辅助食用西餐食物。,Forks help eat Western food.
纸巾清洁擦拭各类污渍。,Tissues clean and wipe all kinds of stains.
拖把清洁地面去除脏污。,Mops clean floors and remove dirt.
扫帚清扫垃圾保持整洁。,Brooms sweep garbage and keep clean.
垃圾桶存放垃圾便于清理。,Garbage cans store trash for easy cleaning.
毛巾被夏季使用轻薄凉。,Towels are light and cool for summer.
棉被冬季使用保暖舒适。,Quilts keep warm and comfortable in winter.
枕头支撑头部帮助睡眠。,Pillows support heads and help sleep.
床垫提供柔软舒适睡眠。,Mattresses provide soft and comfortable sleep.
桌子摆放物品供人使用。,Tables hold items for people to use.
椅子供人坐下休息使用。,Chairs are for people to sit and rest.
柜子收纳物品保持整齐。,Cabinets store items and keep tidy.
床提供休息睡眠的场所。,Beds provide places for rest and sleep.
窗帘遮挡光线保护隐私。,Curtains block light and protect privacy.
地毯柔软舒适装饰地面。,Carpets are soft and decorate floors.
墙壁支撑房屋结构安全。,Walls support house structure safely.
窗户通风采光观察外界。,"Windows ventilate, light and view the outside."
门隔离空间保障安全隐私。,Doors isolate space and ensure safety and privacy.
屋顶遮挡风雨日晒保护。,"Roofs block wind, rain and sun for protection."
楼梯连接上下楼层方便。,Stairs connect floors for convenience.
走廊连接各个房间区域。,Corridors connect all rooms and areas.
阳台晾晒衣物观景休闲。,Balconies dry clothes and view scenery.
客厅接待客人家庭活动。,Living rooms receive guests and hold family activities.
卧室提供安静休息空间。,Bedrooms provide quiet rest spaces.
厨房烹饪制作美食场所。,Kitchens are places for cooking delicious food.
卫生间满足日常生理需求。,Bathrooms meet daily physiological needs.
书房阅读学习思考工作。,"Studies are for reading, learning and working."
城市高楼林立交通繁忙。,Cities have many tall buildings and busy traffic.
小镇安静悠闲生活节奏慢。,Towns are quiet with a slow life pace.
村庄朴素自然人情味浓厚。,Villages are simple and full of human warmth.
道路连接各地方便通行。,Roads connect places for easy passage.
桥梁跨越河流山谷障碍。,Bridges cross rivers and valley obstacles.
隧道穿过山体缩短路程。,Tunnels pass through mountains and shorten trips.
车站等候乘坐交通工具。,Stations are for waiting for transport.
机场乘坐飞机出行旅行。,Airports are for taking planes to travel.
港口停靠船只装卸货物。,Ports dock ships and load goods.
工厂生产制造各类商品。,Factories produce all kinds of goods.
农场种植养殖提供粮食。,Farms plant and raise to provide food.
商店超市购买日常用品。,Shops and supermarkets sell daily necessities.
市场交易各类商品货物。,Markets trade all kinds of goods.
